Period,NationalTV1,NationalTV2,Magazine1,Magazine2,PaidSearch1,PaidSearch2,Display1,Display2,Facebook1,Facebook2,Wechat1,Wechat2,CCI,Sales Event,Comp Media Spend,Sales,DisplayAlwaysOnImpression,DisplayBrandingImpression,DisplayWebsiteImpression,DisplayHolidayImpression,SearchBrandingclicks,SearchAlwasyOnclicks,SearchWebsiteclicks,FacebookBrandingImpressions,FacebookHolidayImpressions,FacebookOtherImpressions
3/16/2015,45.92187157,11.59357444,0.142631566,0.012125935,356088.591,7788.268529,1182107.75,38359002,384482.2857,5295171,451.2231693,922.3723555,93,0,30234,209425,18109429,0,20249573,0,102323,151257,101806,9574044,0,0
3/23/2015,37.69050486,12.81616219,0.04278947,0.001212594,382504.8591,7692.880264,1122731.729,35943444,0,9574044,471.2916934,882.4372355,93,0,30234,213862,13008102,0,22935342,0,113060,190711,81669,0,0,0
3/30/2015,44.15471844,11.225977,0.012836841,0.000121259,341854.6859,8087.622549,1179816.838,39472576,0,0,499.8962033,938.7437236,95.9,0,30234,207935,22338620,7249414,9884542,0,71227,210940,55171,0,0,0
4/6/2015,36.36708904,12.48163224,0.003851052,1.21E-05,344086.9686,7475.113544,1208224.638,40352110,0,0,406.8672495,1005.574372,95.9,0,30240,206922,23509154,16842956,0,0,110553,165614,68168,0,0,0
4/13/2015,44.83027422,10.96142644,0.001155316,1.21E-06,368785.6969,7510.354702,1232668.174,41327803,445340.6683,0,413.0589634,769.2574372,95.9,0,30240,204897,22560425,10513602,8253776,0,125856,164164,81510,11504439,0,0
4/20/2015,42.27006126,12.60321429,0.000346595,1.21E-07,385629.4697,7883.477175,1213568.467,40081149,251279.1103,11504439,453.8463528,805.9257437,95.9,0,30240,215718,20863156,11444923,7773070,0,127400,210749,49352,5625945,0,0
4/27/2015,27.57106825,12.1299996,0.000103978,1.21E-08,332204.147,8134.05281,1143535.371,36680568,405767.683,5625945,489.9143315,906.7925744,90.7,0,30240,210550,20645604,5332697,10702267,0,59380,185190,81698,10241105,0,0
5/4/2015,30.60833741,9.063084272,3.831518515,11.52514873,360419.9147,7325.85894,1091835.486,34772169,565991.8542,10241105,469.2174264,986.1792574,90.7,0,30278,205895,14537450,14740737,5493982,0,128134,124780,110641,15524325,0,0
5/11/2015,28.24976003,9.769531255,4.980942876,12.67766361,355129.7915,7757.509322,1189596.969,40298609,673623.49,15524325,492.9885462,924.8179257,90.7,0,30278,219155,21203245,15298338,3797026,0,61822,188494,104226,19298410,0,0
5/18/2015,30.25256581,9.270787082,5.325770185,12.79291509,382425.1791,7678.306199,1117533.573,35604328,526512.7852,19298410,469.8322693,987.9817926,90.7,0,30278,220677,19924683,15679645,0,0,154946,165946,64566,5432662,0,8750111
